primary,secondaries,trade,relatedTemplate,kd,volume,intent
# Rule (Aug 2026): before adding a row, check the slugified primary against seo/data.json guide slugs AND existing topics —
# near-duplicate keyword variants generate near-duplicate articles (13 retired in the Aug 2026 audit, commit 26aeef2).
how to quote outdoor kitchen build,outdoor kitchen cost australia|alfresco kitchen quote|bbq area pricing,builders,outdoor-kitchen-quote-template,16,180,informational
how to quote window replacement,double glazed window cost|aluminium window quote|window install labour,glaziers,window-replacement-quote-template,19,290,informational
how to quote commercial cleaning,commercial cleaning rates australia|office cleaning quote|strip and seal pricing,cleaners,commercial-cleaning-quote-template,16,180,informational
tradie job management app,job management software for tradies|tradie jobs board|tradie crm app,builders,,28,520,commercial
job scheduling app for tradies,tradie scheduling software|trade business calendar app|tradie diary app,builders,,24,410,commercial
how to track tradie jobs from quote to paid,job pipeline tradie|tradie job stages|trade job lifecycle,builders,,21,260,informational
google calendar for tradies,tradie work calendar|google calendar trade business|shared calendar with partner tradie,builders,,18,210,commercial
how to schedule tradie jobs without double booking,tradie booking software|double booked job|tradie diary management,builders,,17,180,informational
on site job photos for tradies,tradie photo app|trade job photos|before and after tradie photos,builders,,16,170,commercial
tradie job photo annotation app,job photo markup tradie|damage photo annotation|insurance photo tradie,builders,,14,130,commercial
tradie on site checklist app,job checklist tradie|materials checklist app|tradie task list,builders,,15,150,commercial
how to follow up on a quote as a tradie,tradie quote follow up template|quote chase tradie|quote conversion rate tradie,builders,,19,230,informational
automated quote follow ups for tradies,tradie auto follow up software|quote nudge tradie|quote reminder app,builders,,17,190,commercial
how to increase quote conversion rate tradie,tradie quote win rate|quote to job ratio|tradie sales conversion,builders,,18,210,informational
tradie cancelled jobs tracking,why tradie quotes get rejected|tradie lost jobs analysis|tradie quote rejection reasons,builders,,14,120,informational
quote to invoice workflow tradie,quote to invoice australia|one tap invoice tradie|quote acceptance to invoice,builders,,20,280,informational
tradie multi day job scheduling,multi day job tradie|long renovation job management|tradie multi week project,builders,,15,140,informational
tradie work pipeline dashboard,tradie revenue dashboard|tradie business pipeline|trade business kpi,builders,,16,160,commercial
how to handle a renovation job lifecycle,renovation project stages|reno job management|residential reno tracking,builders,,17,200,informational
tradie job management app vs servicem8,servicem8 alternative australia|cheaper than servicem8|tradie crm comparison,builders,,22,310,commercial
tradie job management app vs tradify,tradify alternative australia|cheaper than tradify|tradie scheduling comparison,builders,,21,290,commercial
free tradie job management app,free trade jobs board|no cost tradie crm|sole trader job tracker free,builders,,20,340,commercial
tradie job overdue invoice tracking,overdue tradie invoice|tradie aged receivables|invoice chase australia,builders,,18,220,informational
